Date_Time	Primary Gas Concentration	Primary Gas Concentration Estado	PGA Gain	PGA Gain Estado	SO2 Reference Gain Pot	SO2 Reference Gain Pot Estado	SO2 Signal Gain Pot	SO2 Signal Gain Pot Estado	Instrument Gain	Instrument Gain Estado	Lamp Current	Lamp Current Estado	High Voltage	High Voltage Estado	Gas Pressure	Gas Pressure Estado	Chassis Temperature	Chassis Temperature Estado	Instrument Status	Instrument Status Estado	Instrument State	Instrument State Estado	Instrument Units	Instrument Units Estado	
15/02/2018	00:31:00	50	2.2552428	49	128	44	81	45	123	56	18.334488	64	35.021973	67	710.83447	72	479.7713	77	37.53125	83	0	110	1	116	4
15/02/2018	00:32:00	50	2.0947747	49	128	44	81	45	123	56	18.334488	64	34.954834	67	710.83447	72	479.83978	77	37.5625	83	0	110	1	116	4
15/02/2018	00:33:00	50	1.8448155	49	128	44	81	45	123	56	18.334488	64	35.003662	67	710.83447	72	479.76898	77	37.59375	83	0	110	1	116	4
15/02/2018	00:34:00	50	2.1967754	49	128	44	81	45	123	56	18.334488	64	34.963989	67	710.83447	72	479.77722	77	37.625	83	0	110	1	116	4
15/02/2018	00:35:00	50	2.0902495	49	128	44	81	45	123	56	18.334488	64	35.140991	67	710.83447	72	479.78687	77	37.65625	83	0	110	1	116	4
15/02/2018	00:36:00	50	2.1194391	49	128	44	81	45	123	56	18.334488	64	35.125732	67	710.83447	72	479.77588	77	37.65625	83	0	110	1	116	4
15/02/2018	00:37:00	50	2.0124369	49	128	44	81	45	123	56	18.334488	64	34.954834	67	710.83447	72	479.77991	77	37.6875	83	0	110	1	116	4
15/02/2018	00:38:00	50	2.4570918	49	128	44	81	45	123	56	18.334488	64	35.015869	67	710.83447	72	479.80688	77	37.71875	83	0	110	1	116	4
15/02/2018	00:39:00	50	2.1308074	49	128	44	81	45	123	56	18.334488	64	35.168457	67	710.83447	72	479.78381	77	37.71875	83	0	110	1	116	4
15/02/2018	00:40:00	50	2.270452	49	128	44	81	45	123	56	18.334488	64	35.03418	67	710.83447	72	479.83655	77	37.71875	83	0	110	1	116	4
15/02/2018	00:41:00	50	2.4473152	49	128	44	81	45	123	56	18.334488	64	34.942627	67	710.83447	72	479.85059	77	37.75	83	0	110	1	116	4
15/02/2018	00:42:00	50	2.0960054	49	128	44	81	45	123	56	18.334488	64	35.119629	67	710.83447	72	479.81464	77	37.78125	83	0	110	1	116	4
15/02/2018	00:43:00	50	2.0808048	49	128	44	81	45	123	56	18.334488	64	35.134888	67	710.83447	72	479.88385	77	37.8125	83	0	110	1	116	4
15/02/2018	00:44:00	50	2.1128378	49	128	44	81	45	123	56	18.334488	64	34.951782	67	710.83447	72	479.84344	77	37.8125	83	0	110	1	116	4
15/02/2018	00:45:00	50	3.1166987	49	128	44	81	45	123	56	18.334488	64	35.025024	67	710.83447	72	479.85046	77	37.84375	83	0	110	1	116	4
15/02/2018	00:46:00	50	3.0278854	49	128	44	81	45	123	56	18.334488	64	35.168457	67	710.83447	72	479.8407	77	37.875	83	0	110	1	116	4
15/02/2018	00:47:00	50	2.6804748	49	128	44	81	45	123	56	18.334488	64	35.018921	67	710.83447	72	479.87665	77	37.875	83	0	110	1	116	4
15/02/2018	00:48:00	50	2.9984994	49	128	44	81	45	123	56	18.334488	64	34.954834	67	710.83447	72	479.86304	77	37.90625	83	0	110	1	116	4
15/02/2018	00:49:00	50	3.3215914	49	128	44	81	45	123	56	18.334488	64	35.128784	67	710.83447	72	479.87427	77	37.90625	83	0	110	1	116	4
15/02/2018	00:50:00	50	3.8801823	49	128	44	81	45	123	56	18.334488	64	35.122681	67	710.83447	72	479.85181	77	37.9375	83	0	110	1	116	4
15/02/2018	00:51:00	50	3.404192	49	128	44	81	45	123	56	18.334488	64	34.945679	67	710.83447	72	479.82233	77	37.9375	83	0	110	1	116	4
15/02/2018	00:52:00	50	3.404973	49	128	44	81	45	123	56	18.334488	64	35.015869	67	710.83447	72	479.86774	77	37.9375	83	0	110	1	116	4
15/02/2018	00:53:00	50	3.6221471	49	128	44	81	45	123	56	18.334488	64	35.165405	67	710.83447	72	479.88049	77	37.96875	83	0	110	1	116	4
